Y (compra/vende),X1=precio,X2=puntos
1,38730.2,22
1,38814.3,22
1,37792.4,21
1,39671.1,23
1,39285.7,21
0,41118.7,24
1,40914.8,27
0,41767.8,25
0,42233,28
0,41276,31
0,41022,30
0,42373,26
0,42912,31
0,44013,40
0,44331,47
0,44548,51
0,46859,49
0,47105,60
0,47449,56
0,47075,55
0,45525,52
0,46297,50
0,45811,52
0,46407,48
0,46629,52
0,45506,53
0,43173,48
0,43448,34
0,42275,37
0,42767,30
0,42138,34
1,39497,32
1,40078,20
0,41133,25
1,39936,28
0,40560,22
0,40382,28
1,39703,28
0,40803,24
0,41503,27
0,41368,27
0,40482,27
1,39709,26
1,39418,24
1,39464,24
0,40427,23
1,38113,27
1,39243,21
1,39748,24
1,38581,23
1,37650,20
0,38461,22
0,38514,28
1,37718,27
0,39688,21
1,36544,27
1,36009,22
1,35468,23
1,34060,18
1,30095,11
1,31007.5,10
1,29068.2,12
1,28976,12
1,29284.4,10
1,30080.4,9
1,31308.7,10
1,29849,14
1,30437.5,8
1,28683.7,12
1,30305.9,13
1,29178.6,13
1,29434.6,13
1,30286.6,14
1,29093.3,10
1,29648.7,12
1,29540.6,11
1,29203.5,12
1,28601.2,12
1,29027.1,13
1,29465.2,14
1,31723.3,10
1,31793.4,16
1,29798.5,17
1,30455.5,13
1,29700.9,10
1,29864.3,14
1,29913,10
